Sampler,Lab,SiteNum,NERRSiteNum,Date,Season,Year,ID,Sample No,SiteName,Storm,Rep,TN,TP,Phosphate,SilicaJ,NNN,Ammonia,Chla,TSS,Comments,Time,Temp,SpCond,Salinity,DO,DOSat,Depthm,pH,Turbidity,Comment
DOH,DOH,H6,10,8/14/2014,1,2014,322201,GT08141401,Heeia Mouth,,,182,53,,21500,30,15,0,14,Chlorophyll &quot;a&quot; not analyzed,10:55 AM,25.5,,0.08,4.05,50.2,,7.08,21.8,Negative flow
DOH,DOH,H1,1,8/14/2014,1,2014,322203,GT08141403,Heeia Upper,,,89,23,,28200,85,2,0,1,"Chlorophyll ""a"" not analyzed",11:35 AM,22.54,,0.07,7.64,91.5,,8.14,1.89,Special Run
DOH,DOH,H2,2,8/28/2014,1,2014,322202,GT08281402,Heeia Lower,,,235,25,,28600,207,8,0,2,"Chlorophyll ""a"" not analyzed",10:28 AM,23.04,,0.09,7.82,91.3,,8.09,1.74,Special Run
DOH,DOH,H6,10,8/28/2014,1,2014,322201,GT08281401,Heeia Mouth,,,170,16,,18500,6,25,0,15,"Chlorophyll ""a"" not analyzed",10:08 AM,25.56,,8.62,3.47,43.7,,7.18,16.9,Special Run
DOH,DOH,H1,1,8/28/2014,1,2014,322203,GT08281403,Heeia Upper,,,81,24,,28700,58,5,0,1,"Chlorophyll ""a"" not analyzed",10:47 AM,21.54,,0.07,8.27,93.8,,8.11,0.63,Special Run
DOH,DOH,H2,2,9/11/2014,1,2014,322202,GT09111402,Heeia Lower,,,422,26,,29200,229,14,0,2,"0.00 for chlorophyll ""a"" means analysis not done.",10:41 AM,23.84,,0.09,8.14,96.4,,8.1,1.7,Special Run
DOH,DOH,H6,10,9/11/2014,1,2014,322201,GT09111401,Heeia Mouth,,,241,38,,9620,14,32,0,16,"0.00 for chlorophyll ""a"" means analysis not done.",10:13 AM,27.22,,21.51,4.57,65.3,,7.49,10.1,Special Run
DOH,DOH,H1,1,9/11/2014,1,2014,322203,GT09111403,Heeia Upper,,,136,24,,28700,95,6,0,1,"0.00 value for chlorophyll ""a"" means analysis has not been done.",11:00 AM,22.11,,0.08,8.57,97.1,,8.27,0.66,Special Run
DOH,DOH,H2,2,10/2/2014,2,2014,322202,GT10021402,Heeia Lower,,,478,27,,28800,267,4,0,4,"0.00 value for Chlorophyll ""a"" means analysis not performed",10:35 AM,23.88,,0.1,8.06,95,,8.03,3.38,Special Run
DOH,DOH,H6,10,10/2/2014,2,2014,322201,GT10021401,Heeia Mouth,,,146,18,,880,21,26,0,12,0.00 value for Chlorophyll &quot;a&quot; means analysis not performed,10:15 AM,29.71,,34.66,3.34,60.8,,7.9,3.48,Special Run
DOH,DOH,H1,1,10/2/2014,2,2014,322203,GT10021403,Heeia Upper,,,113,27,,29100,99,2,0,1,"0.00 value for Chlorophyll ""a"" means analysis not performed",10:55 AM,21.76,,0.08,8.59,97.4,,8.24,0.84,Special Run
DOH,DOH,H2,2,10/30/2014,2,2014,322202,GT10301402,Heeia Lower,,,382,22,,29200,98,2,0,5,"""0.0"" means that Chlorophyll ""a"" was not analyzed.",10:30 AM,23.46,,0.1,4.93,58,,8.39,4.1,Special Run
DOH,DOH,H6,10,10/30/2014,2,2014,322201,GT10301401,Heeia Mouth,,,163,26,,2590,14,36,0,36,"""0.0"" means that Chlorophyll ""a"" was not analyzed.",10:05 AM,25.37,,29.9,4.97,72.1,,7.6,14.6,Special Run
DOH,DOH,H1,1,10/30/2014,2,2014,322203,GT10301403,Heeia Upper,,,107,24,,29400,95,3,0,1,"""0.0"" means that Chlorophyll ""a"" was not analyzed.",10:55 AM,21.66,,0.08,8.2,93.3,,8.21,0.8,Special Run
DOH,DOH,H2,2,11/18/2014,2,2014,322202,GT11181402,Heeia Lower,,,394,26,,28700,269,5,0,4,0.00 value for chlorophyll a means that it is not analyzed,11:00 AM,22.42,,0.1,8.37,96.3,,8.12,3.89,Special Run
DOH,DOH,H6,10,11/18/2014,2,2014,322201,GT11181401,Heeia Mouth,,,123,26,,6710,1,8,0,19,0.00 for Chlorophyll a means that it is not analyzed,10:40 AM,24.71,,26.07,6.62,93.1,,7.91,8.59,Special Run
DOH,DOH,H1,1,11/18/2014,2,2014,322203,GT11181403,Heeia Upper,,,128,25,,28800,84,30,0,2,0.00 value for chlorophyll a means that it is not analyzed,11:20 AM,21.21,,0.08,9.02,100.2,,8.1,0.86,Special Run
DOH,DOH,H2,2,12/12/2014,2,2014,322202,GT12121402,Heeia Lower,,,365,23,,29300,295,5,0,2,0.00 value for chlorophyll a indicates that sample was not analyzed for chlorophyll.,10:20 AM,21.88,,0.1,0,0,,8.02,3.35,"Special Run, DO not working"
DOH,DOH,H6,10,12/12/2014,2,2014,322201,GT12121401,Heeia Mouth,,,123,22,,6620,6,45,0,6,0.00 value for chlorophyll a indicates that sample was not analyzed for chlorophyll.,9:55 AM,23.54,,25.25,,,,7.45,4.24,"Special Run, DO not working"
DOH,DOH,H1,1,12/12/2014,2,2014,322203,GT12121403,Heeia Upper,,,101,26,,29100,90,5,0,1,0.00 value for chlorophyll a indicates that sample was not analyzed for chlorophyll.,10:40 AM,20.55,,0.07,0,0,,8.1,2.91,"Special Run, DO not working"
DOH,DOH,H2,2,2/13/2015,2,2015,322202,GT02131502,Heeia Lower,,,369,25,,29600,264,6,0,2,"""0.00"" for Chlorophyll A means that it was not evaluated.",10:55 AM,21.33,,0.09,8.43,95.1,,8.23,1.81,Special Run
DOH,DOH,H6,10,2/13/2015,2,2015,322201,GT02131501,Heeia Mouth,,,175,19,,6770,31,7,0,19,"""0.00"" for Chlorophyll A means that it was not evaluated.",10:30 AM,23.52,,28.3,4.72,66,,7.51,3.61,Special Run
DOH,DOH,H1,1,2/13/2015,2,2015,322203,GT02131503,Heeia Upper,,,122,30,,29500,112,6,0,1,"""0.00"" for Chlorophyll A means that it was not evaluated.",11:20 AM,20.35,,0.07,6.79,74,,8.24,0.54,Special Run
DOH,DOH,H2,2,3/11/2015,2,2015,322202,GT03111502,Heeia Lower,,,368,24,,29700,237,7,0,3,"""0.00"" for Chlorophyll a results means that it was not analyzed.",10:35 AM,20.13,,0.09,8.15,89.9,,8.44,2.61,Special Run
DOH,DOH,H6,10,3/11/2015,2,2015,322201,GT03111501,Heeia Mouth,,,222,37,,7340,25,47,0,16,"""0.00"" for Chlorophyll a results means that this was not analyzed",10:10 AM,23.56,,27.88,3.63,50.8,,7.38,10.3,Special Run
DOH,DOH,H1,1,3/11/2015,2,2015,322203,GT03111503,Heeia Upper,,,125,27,,29800,119,6,0,1,"""0.00"" for Chlorophyll a analysis result means that it was not analyzed.",10:55 AM,19.39,,0.07,8.57,92.9,,8.17,0.59,Special Run
DOH,DOH,H2,2,4/2/2015,1,2015,322202,GT04021502,Heeia Lower,,,295,23,,26400,176,6,0,12,"""0.00"" value means that chlorophyll a was not analyzed.",10:20 AM,22.82,,0.09,6.98,80.2,,8.61,3.11,Special Run
DOH,DOH,H6,10,4/2/2015,1,2015,322201,GT04021501,Heeia Mouth,,,128,41,,15500,25,18,0,25,"""0.00"" value means that chlorophyll a was not analyzed.",10:00 AM,26.25,,13.43,4.83,64.7,,7.14,9.03,Special Run
DOH,DOH,H1,1,4/2/2015,1,2015,322203,GT04021503,Heeia Upper,,,123,29,,23000,89,5,0,3,"""0.00"" value means that chlorophyll a was not analyzed.",10:45 AM,21.03,,0.08,6.29,70.7,,8.42,0.92,Special Run
DOH,DOH,H2,2,4/23/2015,1,2015,322202,GT04231502,Heeia Lower,,,295,23,,26400,176,6,0,12,Chlorophyll a was not analyzed.,11:30 AM,23.3,,0.09,8.46,101.4,,8.46,2.85,Special Run
DOH,DOH,H6,10,4/23/2015,1,2015,322201,GT04231501,Heeia Mouth,,,128,41,,15500,25,18,0,25,"""0.00"" value for chlorophyll a means that it was not analyzed.",11:15 AM,27.57,,27.1,3.32,49.9,,7.57,13.3,Special Run
DOH,DOH,H1,1,4/23/2015,1,2015,322203,GT04231503,Heeia Upper,,,123,29,,23000,89,5,0,3,Chlorophyll a was not analyzed.,11:45 AM,21.32,,0.07,8.88,100,,8.17,0.92,Special Run
DOH,DOH,H2,2,5/22/2015,1,2015,322202,GT05221502,Heeia Lower,,,352,33,,30700,219,31,0,4,"""0.00"" value means that chlorophyll a was not analyzed.",11:25 AM,22.87,,0.1,7.12,83.4,,8.51,2.83,Special Run
DOH,DOH,H6,10,5/22/2015,1,2015,322201,GT05221501,Heeia Mouth,,,131,46,,17200,31,31,0,10,"""0.00"" value means that chlorophyll a was not analyzed",11:00 AM,28.74,,13.93,3.92,42.2,,7.08,16.4,Special Run
DOH,DOH,H1,1,5/22/2015,1,2015,322203,GT05221503,Heeia Upper,,,174,28,,31000,89,7,0,1,"""0.00"" value means that chlorphyll a was not analyzed.",11:45 AM,21.48,,0.07,8.24,93.6,,8.24,0.61,Special Run
DOH,DOH,H2,2,6/10/2015,1,2015,322202,GT06101502,Heeia Lower,,,247,26,,28700,210,11,0,4,0.00 value for chlorophyll means that it was not analyzed.,10:30 AM,22.91,,0.1,7.91,92.9,,8.66,2.96,Special Run
DOH,DOH,H6,10,6/10/2015,1,2015,322201,GT06101501,Heeia Mouth,,,99,20,,1450,1,17,0,28,0.00 value for chlorophyll a means that it was not analyzed.,10:00 AM,27.95,,34.57,6.34,100,,7.82,8.69,Special Run
DOH,DOH,H1,1,6/10/2015,1,2015,322203,GT06101503,Heeia Upper,,,238,28,,27400,198,6,0,1,0.00 value for chlorophyll a means that this was not analyzed.,10:50 AM,21.3,,0.07,8.4,94.7,,8.3,1.29,Special Run
DOH,DOH,H2,2,6/25/2015,1,2015,322202,GT06251502,Heeia Lower,,,223,30,,29300,204,8,0,3,Chlorophyll a was not analyzed.,11:00 AM,23.6,,0.09,7.89,93.6,,8.81,3.16,Special Run
DOH,DOH,H6,10,6/25/2015,1,2015,322201,GT06251501,Heeia Mouth,,,150,18,,2900,1,7,0,13,Chlorophyll a was not analyzed.,10:40 AM,27.6,,32.04,8.82,135.4,,8.14,6.56,Special Run
DOH,DOH,H1,1,6/25/2015,1,2015,322203,GT06251503,Heeia Upper,,,105,33,,28700,54,6,0,1,Chlorophyll a was not analyzed.,11:15 AM,22.2,,0.07,8.33,96.7,,8.5,0.71,Special Run
DOH,DOH,H2,2,7/10/2015,1,2015,322202,GT07101502,Heeia Lower,,,225,57,,14700,74,2,0,4,,10:45 AM,25.13,,0.08,7.34,89.1,,8.62,6.63,Raining
DOH,DOH,H6,10,7/10/2015,1,2015,322201,GT07101501,Heeia Mouth,,,134,11,,1310,22,21,0,10,,10:20 AM,26.78,,34.15,5.27,77.8,,7.61,4.19,Raining
DOH,DOH,H1,1,7/10/2015,1,2015,322203,GT07101503,Heeia Upper,,,,,,,,,,,,,,,,,,,,,No sample taken
DOH,DOH,H2,2,7/22/2015,1,2015,322202,GT07221502,Heeia Lower,,,489,34,,29300,281,31,0,5,A value of 0.00 for chlorophyll a means that this was not analyzed.,9:55 AM,24,,0.09,8.3,98.5,,7.83,3.52,Special Run
DOH,DOH,H6,10,7/22/2015,1,2015,322201,GT07221501,Heeia Mouth,,,179,50,,16000,2,160,0,13,A value of 0.00 for chlorophyll a means that this was not analyzed.,9:45 AM,27.03,,12.07,3.69,50,,7.02,12.9,Special Run
DOH,DOH,H1,1,7/22/2015,1,2015,322203,GT07221503,Heeia Upper,,,187,61,,26100,171,8,0,7,A value of 0.00 for chlorophyll a means that this was not analyzed.,10:20 AM,21.06,,0.07,8.76,100.1,,7.8,9.21,Special Run
